Entity,ScienceScore,ReadingScore,MathScore,Reading10thPercentile,Reading90thPercentile,MathFemale,MathMale,ReadingFemale,ReadingMale,MinimumThres,AdvancedThres,HighProficient,AveProficient,LowProficient,ScienceLevel,ReadingLevel,MathLevel,GDPGroups,PopDenGroups,PopGroup
Iceland,473.23,481.53,488.03,350.43,606.67,488.59,487.45,501.72,460.10,87.89,21.11,24.62,53.29,22.09,Average,Average,Average,HighGDP,LowPopDen,LowPop
Indonesia,403.10,397.26,386.11,299.86,494.75,387.44,384.78,409.00,385.56,59.73,1.63,2.04,42.58,55.38,Low,Low,Low,LowGDP,LowPopDen,HighPop
Ireland,502.58,520.81,503.72,406.40,628.62,495.44,511.58,526.95,514.99,95.29,30.03,37.10,52.71,10.19,High,High,High,HighGDP,LowPopDen,LowMedPop
Israel,466.55,478.96,469.67,325.93,620.94,465.52,473.99,490.16,467.30,88.77,29.19,27.70,45.71,26.59,Average,Average,Average,LowGDP,HighPopDen,LowMedPop
Italy,480.55,484.76,489.73,358.55,602.25,479.82,499.76,492.71,476.70,91.51,15.48,24.83,54.20,20.97,Average,Average,Average,LowGDP,HighPopDen,HighPop
Jordan,408.67,408.10,380.26,280.56,522.10,387.38,373.00,443.60,371.91,59.24,2.17,4.34,49.36,46.30,Low,Low,Low,LowGDP,LowPopDen,LowMedPop
Kazakhstan,456.48,427.14,459.82,325.22,532.51,460.58,459.10,435.38,419.43,93.00,32.64,6.44,52.28,41.28,Average,Low,Average,LowGDP,LowPopDen,MedHighPop
Latvia,490.23,487.76,482.31,373.54,594.53,483.26,481.36,508.83,466.76,90.21,16.04,22.99,59.33,17.68,Average,Average,Average,LowGDP,LowPopDen,LowPop
Lebanon,386.49,346.55,396.25,202.70,503.22,385.99,408.06,353.28,338.81,79.88,6.05,4.40,25.23,70.37,Low,Low,Low,LowGDP,HighPopDen,LowMedPop
Luxembourg,482.81,481.44,485.77,336.44,615.69,480.14,491.48,492.03,470.70,86.40,19.55,27.57,46.79,25.64,Average,Average,Average,HighGDP,HighPopDen,LowPop
Macao,528.55,508.69,543.81,398.62,610.31,547.92,539.72,524.54,492.96,95.62,37.02,31.02,57.31,11.67,High,High,High,HighGDP,HighPopDen,LowPop
Mexico,415.71,423.28,408.02,321.11,522.83,404.33,411.61,431.23,415.54,71.21,4.19,4.53,53.73,41.74,Low,Low,Low,LowGDP,LowPopDen,HighPop
Montenegro,411.31,426.88,417.93,304.38,549.24,417.73,418.13,444.18,410.35,71.42,5.43,9.27,48.84,41.89,Low,Low,Low,LowGDP,LowPopDen,LowPop
Netherlands,508.57,502.96,512.25,368.01,629.82,511.02,513.50,514.70,491.14,91.75,25.15,33.53,48.40,18.06,High,High,High,HighGDP,HighPopDen,MedHighPop
New Zealand,513.30,509.27,495.22,368.29,642.63,490.92,499.47,525.52,493.23,88.60,17.39,35.67,47.04,17.30,High,High,Average,LowGDP,LowPopDen,LowMedPop
Norway,498.48,513.19,501.73,380.98,636.40,502.87,500.61,533.36,493.54,94.74,27.49,36.14,48.94,14.91,Average,High,High,HighGDP,LowPopDen,LowMedPop
Peru,396.68,397.54,386.56,280.77,513.97,381.80,391.28,401.42,393.70,64.53,3.47,3.83,42.27,53.90,Low,Low,Low,LowGDP,LowPopDen,MedHighPop
Portugal,501.10,498.13,491.63,374.00,613.58,486.60,496.56,506.55,489.86,88.25,27.51,29.42,53.35,17.23,High,Average,Average,LowGDP,LowPopDen,MedHighPop
Qatar,417.61,401.89,402.40,255.75,546.57,408.32,396.75,428.95,376.08,75.18,8.38,8.92,39.51,51.57,Low,Low,Low,HighGDP,HighPopDen,LowPop
Romania,434.88,433.62,443.95,310.05,555.25,443.65,444.26,442.38,424.77,79.18,9.68,10.44,50.84,38.71,Low,Low,Low,LowGDP,LowPopDen,MedHighPop
Russia,486.63,494.63,494.06,380.78,607.64,491.12,497.09,507.48,481.37,95.65,38.46,25.94,57.82,16.24,Average,Average,Average,LowGDP,LowPopDen,HighPop
Singapore,555.57,535.10,564.19,400.15,657.31,564.25,564.13,545.56,525.32,98.99,71.37,45.74,43.12,11.15,High,High,High,HighGDP,HighPopDen,LowMedPop
Slovenia,512.86,505.22,509.92,381.65,620.65,507.95,511.76,527.55,484.31,95.22,20.47,32.00,52.86,15.14,High,High,High,LowGDP,LowPopDen,LowPop
Spain,492.79,495.58,485.84,379.22,602.86,477.86,493.85,505.68,485.44,88.95,16.14,27.11,56.66,16.24,Average,Average,Average,LowGDP,LowPopDen,HighPop
Sweden,493.42,500.16,493.92,363.92,625.49,495.05,492.80,519.95,480.72,92.77,17.86,32.45,49.12,18.43,Average,High,Average,HighGDP,LowPopDen,LowMedPop
Switzerland,505.51,492.20,521.25,359.75,614.09,514.98,527.02,505.37,480.08,91.62,31.93,28.69,51.33,19.98,High,Average,High,HighGDP,HighPopDen,LowMedPop
Trinidad and Tobago,424.59,427.27,417.24,290.62,560.98,425.93,408.33,452.44,401.46,70.30,7.57,11.60,45.92,42.48,Low,Low,Low,LowGDP,HighPopDen,LowPop
Tunisia,386.40,361.06,366.82,257.49,466.72,364.00,370.08,372.67,347.60,55.24,2.56,0.89,27.53,71.58,Low,Low,Low,LowGDP,LowPopDen,MedHighPop
United Kingdom,509.22,497.97,492.48,371.78,621.22,486.57,498.20,509.09,487.20,88.62,21.95,29.45,52.67,17.88,High,Average,Average,LowGDP,HighPopDen,HighPop
Uruguay,435.36,436.57,417.99,310.63,562.53,411.50,425.14,447.72,424.30,72.65,6.80,11.84,49.15,39.01,Low,Low,Low,LowGDP,LowPopDen,LowPop
Vietnam,524.64,486.77,494.52,393.20,579.87,496.01,492.96,499.04,473.92,91.18,20.23,18.46,67.70,13.84,High,Average,Average,LowGDP,HighPopDen,HighPop
