record_id,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,pro10,ProAve,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,PreAVE,self1,self2,self3,self4,selfAVE,grit1,grit1R,grit2,grit3,grit3R,grit4,grit5,grit5R,grit6,grit7,grit7R,grit8,grit9,grit9R,grit10,grit11,grit12,grit12R,GritAve
15,4,4,4,3,3,3,4,4,3,4,3.60,3,3,2,3,3,3,2,2,2.63,3,4,3,,3.33,3,3,3,2,4,3,3,3,3,2,4,3,2,4,3,3,1,5,3.42
16,1,2,1,1,2,1,2,1,1,1,1.30,5,4,4,5,4,4,5,4,4.38,4,5,2,2,3.25,2,4,4,2,4,5,2,4,5,2,4,5,1,5,5,4,2,4,4.42
17,2,2,1,1,2,2,3,2,3,1,1.90,4,4,4,4,2,2,4,4,3.50,3,4,1,3,2.75,3,3,3,3,3,5,3,3,4,3,3,2,3,3,5,5,3,3,3.50
18,3,3,3,3,3,3,3,3,3,3,3.00,3,3,3,3,3,3,3,3,3.00,3,3,3,3,3.00,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3.08
19,3,3,3,3,3,3,4,3,5,2,3.20,3,3,2,4,3,2,4,3,3.00,3,3,3,3,3.00,3,3,4,3,3,4,3,3,4,4,2,4,3,3,3,4,2,4,3.42
20,2,3,3,2,3,2,3,2,3,3,2.60,3,3,2,4,3,2,2,3,2.75,3,3,2,2,2.50,3,3,3,2,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3.33
21,3,4,2,2,3,3,3,3,2,3,2.80,3,2,2,3,4,2,2,3,2.63,2,3,2,3,2.50,3,3,4,3,3,4,3,3,2,4,2,2,4,2,2,3,2,4,2.83
22,2,1,2,2,1,2,4,1,4,2,2.10,4,4,4,5,4,4,4,5,4.25,4,4,2,2,3.00,3,3,5,2,4,5,2,4,4,4,2,5,2,4,5,5,3,3,4.08
23,3,3,3,4,4,3,4,1,2,3,3.00,3,3,2,3,4,4,3,3,3.13,4,3,4,3,3.50,4,2,4,2,4,4,2,4,3,4,2,3,2,4,4,4,2,4,3.50
24,1,2,1,1,2,1,1,1,3,2,1.50,5,5,4,5,5,4,4,5,4.63,2,4,1,2,2.25,1,5,4,3,3,4,1,5,5,2,4,5,2,4,4,5,2,4,4.33
25,3,2,1,2,2,3,2,2,2,1,2.00,3,4,3,4,3,4,4,4,3.63,4,4,2,2,3.00,3,3,5,2,4,4,2,4,4,2,4,4,1,5,5,5,2,4,4.25
26,4,4,3,2,4,4,4,4,2,3,3.40,3,2,2,2,3,3,2,3,2.50,3,3,4,4,3.50,3,3,3,3,3,4,3,3,3,2,4,3,3,3,3,4,3,3,3.25
27,3,5,2,3,3,3,3,2,2,2,2.80,3,2,1,3,3,3,3,2,2.50,3,3,1,2,2.25,3,3,2,2,4,5,2,4,5,5,1,5,3,3,4,5,3,3,3.67
29,3,4,3,3,3,3,3,3,3,3,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,2,2,2,2,2,2,2,2,2,2.00,4,4,4,4,4,4,4,4,4.00,4,4,2,1,2.75,2,4,2,2,4,5,2,4,4,2,4,4,2,4,5,5,2,4,4.08
32,5,5,5,5,5,5,5,5,5,5,5.00,1,1,1,1,1,1,1,1,1.00,1,1,5,1,2.00,5,1,1,5,1,1,5,1,1,5,1,1,5,1,1,1,1,5,1.33
33,3,4,4,2,5,3,4,4,3,4,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,3,3,4,3,3,1,2,3,3,2.80,3,3,3,2,3,2,3,3,2.75,2,2,1,2,1.75,3,3,3,3,3,5,3,3,3,3,3,2,3,3,3,3,3,3,3.08
35,4,4,3,4,4,3,4,4,4,4,3.80,2,2,2,3,2,3,3,2,2.38,3,3,3,2,2.75,3,3,4,3,3,4,3,3,3,3,3,3,4,2,4,4,3,3,3.25
36,3,3,4,3,2,3,4,4,4,2,3.20,3,3,2,4,2,3,4,4,3.13,4,3,3,3,3.25,3,3,4,4,2,5,3,3,2,2,4,5,2,4,5,4,3,3,3.67
37,4,5,3,3,4,3,4,3,3,3,3.50,3,3,3,3,,4,4,3,3.29,5,2,5,3,3.75,3,3,4,2,4,5,2,4,4,3,3,4,2,4,5,5,1,5,4.17
38,4,3,3,2,3,3,2,3,1,1,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3,3,3,2,2,2,4,2,4,2,2.70,3,3,3,4,3,3,3,4,3.25,3,4,2,2,2.75,3,3,2,3,3,4,2,4,3,3,3,3,3,3,3,3,2,4,3.17
40,3,4,4,3,4,4,3,4,1,1,3.10,4,4,4,4,2,4,4,3,3.63,4,4,4,4,4.00,4,2,4,4,2,4,4,2,4,2,4,4,4,2,4,4,4,2,3.17
41,2,2,3,1,1,2,1,2,5,2,2.10,4,5,3,5,4,3,4,4,4.00,4,4,3,1,3.00,2,4,4,3,3,5,3,3,3,3,3,4,3,3,4,4,3,3,3.58
42,4,3,5,3,5,3,4,2,5,2,3.60,3,2,2,2,3,2,4,2,2.50,3,3,4,3,3.25,5,1,2,4,2,4,5,1,3,4,2,2,3,3,3,4,3,3,2.50
44,3,3,4,4,4,4,2,2,5,5,3.60,2,2,2,2,2,1,2,2,1.88,3,3,3,3,3.00,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,4,1,5,3.08
