participant_id,avoid_item_1,avoid_item_2,avoid_item_3,avoid_item_4,anx_item_1,anx_item_2,anx_item_3,anx_item_4,age,relationship_status
102,5,7,5,7,5,3,5,4,30,prefer_not_to_say
103,4,5,6,4,4,3,2,2,24,dating
104,5,3,4,3,3,5,2,4,42,single
105,5,4,7,5,3,3,3,3,53,single
106,3,5,5,4,3,3,2,3,48,dating
107,6,6,5,4,3,5,4,3,47,dating
108,6,6,5,6,4,3,4,6,34,single
109,3,6,5,5,4,4,4,4,39,single
110,4,3,6,7,2,3,3,3,53,married/partnered
111,4,3,4,4,3,4,3,6,33,married/partnered
112,4,4,5,3,3,3,3,3,34,single
113,4,5,4,4,4,3,4,3,49,married/partnered
114,4,4,7,6,3,3,3,3,39,dating
115,4,4,4,3,4,6,3,2,25,dating
116,5,5,6,4,2,6,4,4,26,married/partnered
117,5,4,4,4,3,5,6,4,36,married/partnered
118,7,6,7,6,3,3,4,4,33,single
119,5,5,5,4,3,4,4,5,48,dating
120,4,6,6,4,5,6,4,4,24,single
121,5,3,4,4,3,3,2,2,37,dating
122,5,6,4,5,4,2,3,3,26,single
123,7,5,5,6,3,4,4,4,27,married/partnered
124,4,4,4,5,5,3,5,3,32,dating
125,7,7,6,7,3,5,5,4,30,single
126,4,5,4,7,6,3,1,3,48,married/partnered
127,4,5,3,4,3,4,4,2,39,single
128,5,6,6,4,3,4,3,5,47,single
129,7,4,4,7,4,2,4,2,18,single
130,5,5,6,6,5,4,5,3,21,single
131,5,7,6,4,3,3,3,2,21,single
132,3,4,4,2,4,3,5,4,47,dating
133,4,4,3,3,2,3,4,5,22,married/partnered
134,4,4,4,5,3,4,4,3,50,single
135,6,6,6,5,3,1,4,4,37,dating
136,7,5,7,5,3,4,3,4,30,single
137,5,5,6,4,3,3,2,4,26,dating
138,4,4,5,3,4,6,4,3,25,single
139,5,4,3,4,4,4,6,3,52,single
140,7,6,5,6,2,2,1,2,31,single
141,4,6,6,6,7,3,4,5,51,dating
142,7,7,6,4,1,2,3,2,45,single
143,6,6,6,4,2,5,4,4,22,single
144,6,4,7,6,3,3,3,3,52,married/partnered
145,1,6,4,6,3,5,2,3,54,single
146,5,3,5,6,3,2,4,3,46,married/partnered
147,4,4,4,4,6,2,4,5,43,single
148,4,4,4,5,3,3,4,3,31,single
149,4,6,7,5,3,4,3,3,20,dating
150,4,7,5,6,4,4,3,4,50,dating
151,5,6,6,5,2,2,2,3,22,single
152,4,5,5,4,1,4,4,3,35,dating
153,7,6,7,7,2,3,3,3,41,single
154,6,6,6,7,3,4,4,3,21,single
155,6,6,7,5,3,1,3,3,54,married/partnered
156,5,7,4,5,3,3,3,4,32,married/partnered
157,5,3,5,5,1,1,1,2,18,married/partnered
158,4,3,5,3,3,3,2,2,33,dating
159,6,4,5,4,2,5,6,5,45,married/partnered
160,4,7,6,6,2,3,6,3,48,dating
161,7,6,6,6,5,4,2,3,25,married/partnered
162,5,4,4,5,4,5,3,3,31,single
163,6,6,6,5,2,2,1,2,53,dating
164,5,3,4,3,4,3,4,3,44,married/partnered
165,6,5,7,5,5,6,2,3,54,prefer_not_to_say
166,6,5,5,3,4,5,4,3,40,dating
167,6,5,6,4,3,2,4,4,50,married/partnered
168,6,4,6,5,2,1,4,4,27,single
169,4,5,6,6,4,3,2,6,39,dating
170,4,3,4,5,5,4,1,3,48,married/partnered
171,4,4,5,5,5,5,4,5,51,single
172,4,5,3,3,5,5,5,4,41,dating
173,4,4,6,4,5,2,4,6,36,single
174,4,5,6,4,2,4,4,5,52,dating
175,7,5,6,7,2,3,1,4,21,dating
176,6,5,5,4,5,3,5,4,20,dating
177,5,5,5,4,3,2,3,2,45,married/partnered
178,4,7,6,5,5,5,4,4,50,married/partnered
179,5,5,4,6,4,5,4,4,31,single
180,5,7,6,5,3,4,3,5,44,single
181,4,5,5,5,1,4,3,4,52,prefer_not_to_say
182,4,5,7,3,4,1,2,3,41,single
183,5,5,6,3,5,3,5,2,18,dating
184,3,4,5,4,2,2,2,1,22,married/partnered
185,5,5,5,5,1,2,4,4,54,married/partnered
186,3,4,4,4,2,4,5,4,36,single
187,4,4,5,5,2,6,4,4,19,dating
188,4,5,6,5,3,2,3,3,49,single
189,5,4,5,4,4,3,4,2,38,married/partnered
190,6,5,4,5,1,4,3,4,38,single
191,5,5,6,4,4,5,4,5,19,single
192,5,5,4,5,3,2,2,4,42,single
193,6,7,6,6,4,4,5,4,44,single
194,5,4,3,4,6,3,4,3,33,married/partnered
195,4,3,5,4,5,3,5,3,41,dating
196,6,4,4,5,6,5,5,4,23,dating
197,7,3,4,5,2,3,3,2,22,single
198,6,5,5,5,3,4,1,3,21,dating
199,3,6,5,4,2,4,3,2,37,single
200,4,3,3,5,3,6,4,3,36,married/partnered
201,4,2,6,5,3,4,3,1,31,married/partnered
202,4,5,7,5,4,4,6,6,51,dating
203,6,6,6,6,5,3,3,4,39,dating
204,4,5,5,7,4,4,2,3,19,single
205,4,5,5,3,4,6,4,4,37,dating
206,4,3,4,2,4,5,4,4,28,dating
207,5,2,4,4,2,3,4,1,53,dating
208,5,3,2,4,5,3,2,3,28,single
209,7,5,7,5,3,3,4,3,19,dating
210,6,6,5,4,2,5,4,4,52,dating
211,5,4,4,4,3,6,4,5,45,single
212,6,6,6,7,4,6,3,4,19,married/partnered
213,6,6,6,7,4,4,4,3,35,single
214,6,5,5,5,3,4,5,4,54,dating
215,6,5,6,7,5,2,5,3,25,married/partnered
216,5,3,4,4,4,4,4,3,24,prefer_not_to_say
217,3,6,5,4,2,2,3,2,31,single
218,5,5,5,5,3,3,2,5,28,single
219,5,5,4,3,3,3,3,3,44,single
220,3,4,6,3,3,4,4,2,24,married/partnered
